movie_title,slug,whatsong_movie_id,whatsong_movie_relevance_score,release_year,entry_id,scene_description,mins_into_movie,in_trailer,whatsong_song_id,song_title,whatsong_artist_id,artist_name,song_artist_slug,song_spotify_uri,song_apple_music_url,whatsong_contributor_user_id
Alice in Wonderland,Alice-in-Wonderland,968,25.74191,2010,14578,Song during end credits.,100.0,,14458,Alice,293,Avril Lavigne,Avril-Lavigne,spotify:track:30xCKWpu4EDfllDGnc3CTu,https://geo.music.apple.com/us/album/alice/id356532177?i=356532189,3087.0
Inception,Inception,704,16.267328,2010,11610,"Opening titles/credits. Cobb awakes on the shore beside Saito's headquarters, delusional. ",0.0,,10694,Half Remembered Dream,1348,Hans Zimmer,Hans-Zimmer,spotify:track:7DU7DNVDZouvJ34tPcPxBj,https://geo.music.apple.com/us/album/half-remembered-dream/id380349905?i=380350107,5.0
Inception,Inception,704,16.267328,2010,14086,"Cobb and Ariadne in limbo to find Fischer.
",0.0,,13711,Waiting for a Train,1348,Hans Zimmer,Hans-Zimmer,spotify:track:3iR6S8t0mOLUZUAB77KgrP,https://geo.music.apple.com/us/album/waiting-for-a-train/id380349905?i=380350238,5.0
Inception,Inception,704,16.267328,2010,11612,Mal shoots Arthur in the knee. Cobb manages to kill him and escape with the envelope. Saito wakes up in Nash's dream.,8.0,,10693,Dream Is Collapsing,1348,Hans Zimmer,Hans-Zimmer,spotify:track:5xKVYMxOHB2XRLCUafFrz6,https://geo.music.apple.com/us/album/dream-is-collapsing/id380349905?i=380350137,5.0
Inception,Inception,704,16.267328,2010,11617,Cobb meets Ariadne. Her first lesson in shared dreaming,24.0,,10700,One Simple Idea,1348,Hans Zimmer,Hans-Zimmer,spotify:track:3C12og48CWBrxVV2FK6Dhw,https://geo.music.apple.com/us/album/one-simple-idea/id380349905?i=380350184,5.0
Inception,Inception,704,16.267328,2010,11622,Ariadne's first experience as the Architect. She ends up being stabbed by Mal,30.0,,10696,Radical Notion,1348,Hans Zimmer,Hans-Zimmer,spotify:track:7G799Mcsbvfn5TSWZ7u7gI,https://geo.music.apple.com/us/album/radical-notion/id380349905?i=380350140,5.0
Inception,Inception,704,16.267328,2010,11618,Cobb has a narrow escape in Mombassa with Saito's help,37.0,,10699,Mombasa,1348,Hans Zimmer,Hans-Zimmer,spotify:track:77QDBf1zTvyegtTpAO5EpH,https://geo.music.apple.com/us/album/mombasa/id380349905?i=380350183,5.0
Inception,Inception,704,16.267328,2010,11616,Cobb tells Ariadne how he and Mal spent years in limbo and how even after she was obsessed with the idea that this world isn't real,75.0,,10695,We Built Our Own World,1348,Hans Zimmer,Hans-Zimmer,spotify:track:1VCBfWtJOGPV3mtGw8mSlW,https://geo.music.apple.com/us/album/we-built-our-own-world/id380349905?i=380350131,5.0
Inception,Inception,704,16.267328,2010,11620,Fischer enters the safe room to find his father on his deathbed. He enters the code and finds the testament,129.0,,10698,528491,1348,Hans Zimmer,Hans-Zimmer,spotify:track:6s543KncTsc2rJtMd6kJ8v,https://geo.music.apple.com/us/album/528491/id380349905?i=380350149,5.0
Inception,Inception,704,16.267328,2010,11624,Cobb reminds Mal that they did grow old together. He finally lets her go. Meanwhile in the other layer everybody gets out of the sinking van. In limbo Cobb meets old Saito and convinces him to go back and fulfil his promise,133.0,,10702,Paradox,1348,Hans Zimmer,Hans-Zimmer,spotify:track:3NVrDGv0eYHeN4M8Abf4UX,https://geo.music.apple.com/us/album/paradox/id380349905?i=380350244,5.0
Inception,Inception,704,16.267328,2010,14095,"Everybody wakes up onboard of the plane. Saito makes a call to settle Cobb's problems. Airport scene, Cobb is let into the US. He returns to his
",137.0,,13712,Time,1348,Hans Zimmer,Hans-Zimmer,spotify:track:6ZFbXIJkuI1dVNWvzJzown,https://geo.music.apple.com/us/album/time/380349905?i=380350246,5.0
Inception,Inception,704,16.267328,2010,11625,,,,10701,Dream Within a Dream,1348,Hans Zimmer,Hans-Zimmer,spotify:track:7ifWgqspqvPpQWXCfyrho4,https://geo.music.apple.com/us/album/dream-within-a-dream/id380349905?i=380350188,5.0
Inception,Inception,704,16.267328,2010,11621,,,,10697,Old Souls,1348,Hans Zimmer,Hans-Zimmer,spotify:track:3maMYEbpgp1ttMONc8Wjyr,https://geo.music.apple.com/us/album/old-souls/id380349905?i=380350146,5.0
Inception,Inception,704,16.267328,2010,11626,Used in different moments to synchronize the kick,,,80070,"Non, je ne regrette rien",2747,Edith Piaf,Edith-Piaf,spotify:track:3dkIE8P7hvl3tHl9KSb6dA,https://geo.music.apple.com/us/album/non-je-ne-regrette-rien/id726378402?i=726380514,122858.0
Inception,Inception,704,16.267328,2010,11619,,,,10704,Don't Think About Elephants,1348,Hans Zimmer,Hans-Zimmer,,,5.0
Inception,Inception,704,16.267328,2010,11623,"Cobb arrives on beach in limbo. He converses with Saito, then with Mal, finds Saito's envelope, is intercepted, and ends when he is dunked in water.",,,10703,Projections,1348,Hans Zimmer,Hans-Zimmer,,,5.0
Harry Potter and the Deathly Hallows: Part 1,Harry-Potter-and-the-Deathly-Hallows-Part-1,828,36.50857,2010,12961,Harry and Hermione dance together in the tent after Ron leaves them. ,80.0,,12393,O Children,7193,Nick Cave & The Bad Seeds,Nick-Cave-and-The-Bad-Seeds,spotify:track:0bzZwA8pL8U8ERddgcwxWP,http://geo.music.apple.com/us/album/o-children/id310539159?i=310539187,5.0
Harry Potter and the Deathly Hallows: Part 1,Harry-Potter-and-the-Deathly-Hallows-Part-1,828,36.50857,2010,12962,A choir sings this song at Godric's Hollow church.,,,12394,My Love Is Always Here,7194,London Voices,London-Voices,,,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,8955,Featured in the extended trailer for Iron Man 2,5.0,,79114,Shoot to Thrill,546,AC/DC,ACDC,spotify:track:0C80GCp0mMuBzLf3EAXqxv,https://geo.music.apple.com/us/album/shoot-to-thrill/id574050396?i=574050498,43497.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,15069,The first time Stark is in his lab in the movie and Pepper comes in. ,18.0,,52167,Should I Stay Or Should I Go,672,The Clash,The-Clash,spotify:track:3v8PlUFGQQDBIk1J86waCo,https://geo.music.apple.com/us/album/should-i-stay-or-should-i-go/id685585931?i=685585941,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9755,During the fight b/w tony stark and col. rhodes in the Iron man suits,56.0,,5494,Another One Bites The Dust,1529,Queen,Queen,spotify:track:291RmMazWAmDitFuD6NJCv,https://geo.music.apple.com/us/album/another-one-bites-the-dust/id376116592?i=376116624,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9753,During the fight b/w tony stark and col. rhodes in the Iron man suits,57.0,,8933,Robot Rock,3577,Daft Punk,Daft-Punk,spotify:track:0mqH3csuodko0zRL8WCuce,https://geo.music.apple.com/us/album/robot-rock/id703078650?i=703078877,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9744,when the Senator hands over the medals to tony stark and col. Rhodes and the end-credits start rolling,116.0,,18656,Highway To Hell,546,AC/DC,ACDC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://geo.music.apple.com/us/album/highway-to-hell/574043989?i=574044008,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9759,This piece of score by composer John Debney is played during the Howard Stark reel movie,119.0,,8934,Make Way for Tomorrow,3229,John Debney,John-Debney,spotify:track:5SlA6YnmvL1gC1OskteP3v,https://geo.music.apple.com/us/album/make-way-for-tomorrow-expo/id381490362?i=381490380,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,8954,Featured in the extended trailer for Iron Man 2,,,3402,Iron Man,177,Black Sabbath,Black-Sabbath,spotify:track:34tr7aHsxhZ9RVTxQEAyYb,https://geo.music.apple.com/us/album/iron-man/id785232473?i=785232524,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9758,Hammer(Sam Rockwell) does a few steps on the stage as he is abt to start his presentation of drones at the expo,,,5022,Pick Up the Pieces,3347,Average White Band,Average-White-Band,spotify:track:2x1LQq8lsUzAA2wNj8yjC9,https://geo.music.apple.com/us/album/pick-up-the-pieces/id300967684?i=300967827,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9756,The piece of music heard as Iron man is having a bite on the Randy's donut sign and stops as Nick Fury steps in.,,,8932,Groove Holmes,452,Beastie Boys,Beastie-Boys,spotify:track:5mq8e9pxrDNtPc09wydnj0,https://geo.music.apple.com/us/album/groove-holmes/id724690226?i=724690799,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9742,When Tony Stark is kinda practicing boxing with Happy Hogan(Jon Favreau) before natalie steps in..,,,8930,The Magnificent Seven,672,The Clash,The-Clash,spotify:track:6JY2q7MITljxaSCir9iXvv,https://geo.music.apple.com/us/album/the-magnificent-seven/id684746326?i=684746374,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9749,The track played by the DJ during the Iron man's birthday party.,,,8931,California Love (Single Version),5423,2Pac feat. Dr. Dre and Roger Troutman,2Pac-feat-Dr-Dre-and-Roger-Troutman,,,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9757,Score by John Debney and is played during the final battle when natalie(Scarlett) is kicking hammers's men while enroute to stop Ivan,,,8935,Black Widow Kicks Ass,3229,John Debney,John-Debney,spotify:track:7jXzXQ17gPavpq05f2KDK6,https://geo.music.apple.com/us/album/black-widow-kicks-ass/id381490362?i=381490526,5.0
Iron Man 2,Iron-Man-2,551,21.487162,2010,9751,During the fight b/w tony stark and col. rhodes in the Iron man suits,,,78857,It Takes Two,10062,Rob Base & DJ EZ Rock,Rob-Base-and-DJ-EZ-Rock,spotify:track:5AD0WqGlYPZFZwu3DoNj25,https://geo.music.apple.com/us/album/it-takes-two/258655610?i=258655676,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,1104,"Donkey is singing various songs to Shrek
",0.0,,19315,Papa Don't Preach,9761,Brian Elliott,Brian-Elliott,,,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,55859,Playing in the cemetery at the start of the movie.,1.0,,1887,Dueling Banjos,1409,Arthur Smith,Arthur-Smith,spotify:track:5vdJbp1aH7VLrflsExibBv,https://geo.music.apple.com/us/album/deuling-banjos/535339223?i=535339332,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,10099,"First song ""Night Mare"" by Jeremy Steig.",2.0,,9257,Night Mare,5575,Jeremy Steig,Jeremy-Steig,,,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,10097,Second song. Sung by donkey.,4.0,,9251,You've Got a Friend,3597,Carole King,Carole-King,spotify:track:6NdGctoSJkQ9uyCkrn7w3v,https://geo.music.apple.com/us/album/youve-got-a-friend/id278129200?i=278129316,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,7837,"Sung by Puss (Banderas)
",5.0,,17602,One Love,9361,Antonio Banderas,Antonio-Banderas,spotify:track:0jlFvfcJUUay0Wxu4rW809,https://geo.music.apple.com/us/album/one-love/id372087889?i=372087904,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,10095,Shrek and his famiy and friends are flying on the dragon.,8.0,,9252,Isn't It Strange,2504,Scissor Sisters,Scissor-Sisters,spotify:track:3200Nazby8cbVqRcLmo36n,https://geo.music.apple.com/us/album/isnt-it-strange/372087889?i=372087896,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,7983,After Shrek signs the contract with Rumplestilskins and spends his day terrorizing the village.,19.0,,18204,Top of the World,7623,Carpenters,Carpenters,spotify:track:7v6itCagc1597FmxaYoR3z,https://geo.music.apple.com/us/album/top-of-the-world/id372087889?i=372087906,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,10102,Shrek is captured when he realizes something is wrong with the contract.,24.0,,9253,'Tomorrow' from 'Annie',4873,Martin Charnin and Charles Strouse,Martin-Charnin-and-Charles-Strouse,,,5.0
Shrek Forever After,Shrek-Forever-After,608,28.439293,2010,55860,After the witch whips Donkey,26.0,,9255,Hit Me With Your Best Shot,3021,Pat Benatar,Pat-Benatar,spotify:track:7bIsEIih44b4XwsyiSBA33,https://geo.music.apple.com/us/album/hit-me-with-your-best-shot/id76921427?i=76921005,5.0
