__typename,id,movie_id,scene_description,time_description,played_count,is_trailer,user_scene_id,user_time_id,user_song_id,ts_id,ts_link,ts_thumbnail,song.__typename,song.id,song.name,song.artist.__typename,song.artist.id,song.artist.name,song.artist.slug,song.previewUrl,song.spotifyImg64,song.spotifyUri,song.appleMusicUrl,song.appleMusicPreviewUrl,song.youtube_id,song.track_number,song.contributor_user_id
SongToMovieType,12961,828,Harry and Hermione dance together in the tent after Ron leaves them. ,80.0,1630,,111319.0,,5,,,,SongType,12393,O Children,ArtistType,7193,Nick Cave & The Bad Seeds,Nick-Cave-and-The-Bad-Seeds,https://p.scdn.co/mp3-preview/2e139705d3f4076c7f1ca152fc8ff8ed247321f6,https://i.scdn.co/image/4b37161d14a8f2f11e711372cb858929c0238a7e,spotify:track:0bzZwA8pL8U8ERddgcwxWP,http://geo.music.apple.com/us/album/o-children/id310539159?i=310539187,http://a5.mzstatic.com/us/r1000/041/Music/74/98/de/mzm.tqljzwgc.aac.p.m4a,HtrKPsUlM0E,,5.0
SongToMovieType,12962,828,A choir sings this song at Godric's Hollow church.,,370,,46424.0,,5,,,,SongType,12394,My Love Is Always Here,ArtistType,7194,London Voices,London-Voices,,,,,,1VONDFSBZig,,5.0
SongToMovieType,14578,968,Song during end credits.,100.0,2350,,3087.0,,3087,,,,SongType,14458,Alice,ArtistType,293,Avril Lavigne,Avril-Lavigne,https://p.scdn.co/mp3-preview/c3e8be51892cbf67350e15b41b8b46cbf751244a,https://i.scdn.co/image/ab67616d00004851c648eb3c70cea7ed4948ed0d,spotify:track:30xCKWpu4EDfllDGnc3CTu,https://geo.music.apple.com/us/album/alice/id356532177?i=356532189,http://a11.phobos.apple.com/us/r1000/001/Music7/v4/79/7e/1d/797e1d9e-124e-7579-0342-d0ddacec731f/mzaf_4887177183906094449.plus.aac.p.m4a,YI4m-l2yRZA,,3087.0
SongToMovieType,11789,726,First song during opening credits as the bus arrives at the egyptian pyramids.,1.0,10799,,5.0,,5,62c9b31a8fed746f1c75bc90,https://share.tunespotter.com/nW5EMCuguCb,spot/62c9b31a8fed746f1c75bc90/thumbnail/1657385754914,SongType,71564,Sweet Home Alabama,ArtistType,865,Lynyrd Skynyrd,Lynyrd-Skynyrd,https://p.scdn.co/mp3-preview/2b1f21a861bafb24091bd955cdf79ba8ece034d7,https://i.scdn.co/image/ab67616d0000485117e1907923e91181f38290ac,spotify:track:7e89621JPkKaeDSTQ3avtg,https://geo.music.apple.com/us/album/sweet-home-alabama/id3436864?i=3436842,http://a761.phobos.apple.com/us/r1000/100/Music/c2/14/3e/mzm.rxiblcza.aac.p.m4a,ye5BuYf8q4o,,5.0
SongToMovieType,11791,726,Gru walks into the coffee shop in the beginning of the movie after making a balloon for a child. Continues as Gru arrives home.,4.0,21308,,166985.0,,5,62c9b2c64e3db0a3937deaef,https://share.tunespotter.com/TyT4NCuguCb,spot/62c9b2c64e3db0a3937deaef/thumbnail/1657385670368,SongType,10958,Despicable Me,ArtistType,6417,Pharrell,Pharrell,0,https://i.scdn.co/image/ab67616d0000485171b8aab8c2b12abb658dc7c5,spotify:track:13imgWI2z0vipat0RMYcje,https://geo.music.apple.com/us/album/despicable-me/379630607?i=379630655,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/52/25/de/mzm.lxqpulyx.aac.p.m4a,,,5.0
SongToMovieType,11792,726,Dr. Nefario is showing Gru the Boogie Robots.,32.0,16420,,,,5,62c9b3d44e3db0a3937deb1f,https://share.tunespotter.com/yUTEMCuguCb,spot/62c9b3d44e3db0a3937deb1f/thumbnail/1657385940538,SongType,53439,Boogie Fever,ArtistType,6418,The Sylvers,The-Sylvers,https://p.scdn.co/mp3-preview/a6cc797a98ee29f48796bdd27e574b5cd08a0a8d,https://i.scdn.co/image/e389e8c962f33e8d01342b5f7eaaf9460aae627a,spotify:track:0vE1E6ZNJGlCHPe95z5Orl,https://geo.music.apple.com/us/album/boogie-fever/id716695949?i=716695996,http://a1431.phobos.apple.com/us/r30/Music/v4/44/e9/74/44e974b1-9bff-76e4-9906-8d7907a736aa/mzaf_4414369592818020802.plus.aac.p.m4a,4x6duDDC6IA,,5.0
SongToMovieType,14051,726,"His minions sing this song on the microphone at the department store while they're dressed as little girls.
",38.0,12797,,5.0,,5,,,,SongType,5595,Copacabana - Home cassette of composing the song,ArtistType,660,Barry Manilow,Barry-Manilow,https://p.scdn.co/mp3-preview/71355d9031d06254f8ce62ff245efa38a2bfbeda,https://i.scdn.co/image/ab67616d0000485192f124abc5a9280e43f8d4a7,spotify:track:7vMPXqHAJ6lYeQNSicsEFV,https://geo.music.apple.com/us/album/copacabana/id278264708?i=278264847,http://a612.phobos.apple.com/us/r1000/091/Music/2a/6c/48/mzm.hvyyvbon.aac.p.m4a,GwZT5f0ffPU,,5.0
SongToMovieType,11813,726,When Gru agrees to bring the girls to Super Silly Fun Land. Continues when Gru shoots down the game stand and wins the fluffy unicorn.,47.0,17489,,,,5,62c9b2c64e3db0a3937deaef,https://share.tunespotter.com/TyT4NCuguCb,spot/62c9b2c64e3db0a3937deaef/thumbnail/1657385670368,SongType,10978,"Fun, Fun, Fun",ArtistType,6417,Pharrell,Pharrell,0,https://i.scdn.co/image/ab67616d0000485171b8aab8c2b12abb658dc7c5,spotify:track:4QladmstOwT9YGgtQc6a1l,https://geo.music.apple.com/us/album/fun-fun-fun/id379630607?i=379630662,http://a992.phobos.apple.com/us/r1000/108/Music/f9/2e/dd/mzm.skcaazgf.aac.p.m4a,,,5.0
SongToMovieType,11812,726,Montage as they start building the robot. Everyone pitches in money to help fund the project.,56.0,11257,,5.0,,5,,,,SongType,10977,Prettiest Girls,ArtistType,6417,Pharrell,Pharrell,0,https://i.scdn.co/image/ab67616d0000485171b8aab8c2b12abb658dc7c5,spotify:track:3t3CyMiM9A4g7ipiNaxXvi,https://geo.music.apple.com/us/album/prettiest-girls/id379630607?i=379630685,http://a1880.phobos.apple.com/us/r1000/102/Music/ff/f0/b3/mzm.snusiviv.aac.p.m4a,,,5.0
SongToMovieType,56160,726,"End of movie when the girls are dancing for Gru, Dr. Nefario and his workers.",82.0,12991,,5.0,,5,,,,SongType,2225,You Should Be Dancing - Live,ArtistType,518,The Bee Gees,The-Bee-Gees,https://p.scdn.co/mp3-preview/820dc88ca76de53e8364459ea26003e4e857a6da,https://i.scdn.co/image/ab67616d0000485199135b3a5391069c552626ed,spotify:track:5yJ7KOXf8UoRjIcDEOE8Y3,http://geo.music.apple.com/us/album/you-should-be-dancing/id263508370?i=263509379,http://a3.mzstatic.com/us/r1000/080/Music/45/1d/38/mzi.pnnmrmjn.aac.p.m4a,,,5.0
SongToMovieType,11795,726,Movie finishes. Ends on the minions and plays into the end credits.,84.0,16164,,5.0,,5,,,,SongType,10961,"My Life - From ""Despicable Me"" Soundtrack",ArtistType,5415,Robin Thicke,Robin-Thicke,https://p.scdn.co/mp3-preview/4d9f283ab2c580dac8d8ca1b014b5c038cb49adc,https://i.scdn.co/image/ab67616d000048517dcca92c56aa4620bb688f91,spotify:track:5JhZEKz21fon1JbAkq4PVm,https://geo.music.apple.com/us/album/my-life/id379630607?i=379630676,http://a1185.phobos.apple.com/us/r1000/096/Music/fe/bf/82/mzm.owpqlvli.aac.p.m4a,,,5.0
SongToMovieType,11794,726,The minions dancing this song.,100.0,11630,,,,5,,,,SongType,10962,Minion Mambo,ArtistType,6420,The Minions,The-Minions,0,https://i.scdn.co/image/ab67616d0000485171b8aab8c2b12abb658dc7c5,spotify:track:1umezgLqdVa6SWPzz8cq3h,https://geo.music.apple.com/us/album/minion-mambo/id379630607?i=379630665,http://a520.phobos.apple.com/us/r1000/093/Music/bc/56/e6/mzm.vkcrfcmb.aac.p.m4a,,,5.0
SongToMovieType,11790,726,Show the movie.,111.0,353,,,,5,,,,SongType,10960,The Way It Is (Vector's Theme),ArtistType,6419,D.A. Wallach,DA-Wallach,,,,,,,,5.0
SongToMovieType,11793,726,"Song from ""The Trailer""",119.0,11907,,,,5,,,,SongType,10963,I'm On A Roll,ArtistType,6421,Destinee and Paris,Destinee-and-Paris,0,https://i.scdn.co/image/ab67616d0000485171b8aab8c2b12abb658dc7c5,spotify:track:7hhbsb1ziyuJwQVwO2voCL,https://geo.music.apple.com/us/album/im-on-a-roll/id379630607?i=379630664,http://a196.phobos.apple.com/us/r1000/070/Music/10/ff/4d/mzm.gsbvhyrr.aac.p.m4a,r2ImHuY_v-U,,5.0
SongToMovieType,56157,726,The minions at the department store while they're dressed at?,122.0,12087,,,,5,,,,SongType,3467,Garota de Ipanema - Live,ArtistType,2463,Vinicius DeMoraes and Anotonia Carlos Jobim,Vinicius-DeMoraes-and-Anotonia-Carlos-Jobim,https://p.scdn.co/mp3-preview/2fddacdc22195967fd91cf93d8e0a89daefcd2ea,https://i.scdn.co/image/ab67616d00004851315049eccb2f9d0f09002e18,spotify:track:5kaX9u8USNLqK3pnvzWwSk,http://geo.music.apple.com/us/album/garota-de-ipanema/id156993856?i=156994060,http://a4.mzstatic.com/us/r1000/018/Music/08/4d/82/mzm.jwgbrigx.aac.p.m4a,,,5.0
SongToMovieType,11610,704,"Opening titles/credits. Cobb awakes on the shore beside Saito's headquarters, delusional. ",0.0,7596,,5.0,,5,,,,SongType,10694,Half Remembered Dream,ArtistType,1348,Hans Zimmer,Hans-Zimmer,0,https://i.scdn.co/image/ab67616d00004851a883e26f90ab617c91b90e56,spotify:track:7DU7DNVDZouvJ34tPcPxBj,https://geo.music.apple.com/us/album/half-remembered-dream/id380349905?i=380350107,http://a1082.phobos.apple.com/us/r1000/115/Music/bd/4d/b5/mzm.gwupqiwu.aac.p.m4a,U4RGXGmswwk,,5.0
SongToMovieType,14086,704,"Cobb and Ariadne in limbo to find Fischer.
",0.0,4947,,5.0,,5,,,,SongType,13711,Waiting for a Train,ArtistType,1348,Hans Zimmer,Hans-Zimmer,0,https://i.scdn.co/image/ac6cb7cc9b6d9b373f161990debdbe0f5f82532a,spotify:track:3iR6S8t0mOLUZUAB77KgrP,https://geo.music.apple.com/us/album/waiting-for-a-train/id380349905?i=380350238,http://a21.phobos.apple.com/us/r1000/075/Music/30/17/36/mzm.nmtfqdim.aac.p.m4a,,,5.0
