episode_id,episode_name,episode_air_date,episode_season_id,episode_tvshow_id,episode_episode_number,episode_tmdb_episode_id,episode_tvshow_name,episode_tvshow_year,episode_tvshow_composer,episode_tvshow_firstAirDate,episode_tvshow_network,episode_tvshow_song_count,episode_tvshow_tmdbId,episode_tvshow_imdbId,episode_tvshow_status,episode_tvshow_view_count,episode_tvshow_theme_song_id,episode_tvshow_theme_song,episode_tvshow_contributor_user_id,episode_season_season_number,episode_tvshow_theme_song_name,episode_tvshow_theme_song_artist_id,episode_tvshow_theme_song_artist_name,episode_tvshow_theme_song_appleMusicUrl,song_id,scene_description,time_description,song_name,song_artist_id,song_artist_name,song_spotifyUri,song_appleMusicUrl,song_about,song_releaseYear,song_contributor_user_id
278648,A Star-Holder is Born,2025-03-05T00:00:00.000Z,206208,101004,6,5950148.0,The Challenge: All Stars,2021,,2021-04-01,Paramount+,221,121066,tt14257126,Returning Series,1893750,,,171889,5,,,,,252289.0,,,Fantastic Voyage,3274.0,Coolio,spotify:track:3QlTzofanSqDWywxEzGGE2,https://geo.music.apple.com/us/album/fantastic-voyage/1288163588?i=1288163896,,,5.0
278367,Tri-Rival Pursuit,2025-02-26T00:00:00.000Z,206208,101004,5,5950147.0,The Challenge: All Stars,2021,,2021-04-01,Paramount+,221,121066,tt14257126,Returning Series,1893750,,,171889,5,,,,,695513.0,,,Kiss Me Thru The Phone,4218.0,Soulja Boy,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://music.apple.com/us/album/kiss-me-thru-the-phone-feat-sammie/1443711617?i=1443711628,,,163677.0
278367,Tri-Rival Pursuit,2025-02-26T00:00:00.000Z,206208,101004,5,5950147.0,The Challenge: All Stars,2021,,2021-04-01,Paramount+,221,121066,tt14257126,Returning Series,1893750,,,171889,5,,,,,695514.0,,,Tubthumping,207802.0,Manwell,spotify:track:6jkG6qv5KWrbuddo75vIAy,https://music.apple.com/us/album/tubthumping-feat-j-pollock/1644383551?i=1644383552,,,163677.0
124218,Episode 8,2022-02-12T00:00:00.000Z,200778,100866,8,,The Masked Singer,2020,,2020-01-04,ITV,172,96907,tt10477884,Returning Series,3697136,,,171889,3,,,,,36470.0,,,Run,6602.0,Leona Lewis,spotify:track:6DJyLjFmvV4IXblozR4CAZ,https://geo.music.apple.com/us/album/run-single-mix/id300013601?i=300013606,,,5.0
124218,Episode 8,2022-02-12T00:00:00.000Z,200778,100866,8,,The Masked Singer,2020,,2020-01-04,ITV,172,96907,tt10477884,Returning Series,3697136,,,171889,3,,,,,636116.0,,,Blank Space,5221.0,Taylor Swift,spotify:track:1p80LdxRV74UKvL8gnD7ky,,,,171889.0
124218,Episode 8,2022-02-12T00:00:00.000Z,200778,100866,8,,The Masked Singer,2020,,2020-01-04,ITV,172,96907,tt10477884,Returning Series,3697136,,,171889,3,,,,,3654.0,,,Flower Duet,2570.0,Leo Delibes,spotify:track:4TXtQ0vpUey5XUdVNqzMlU,,,,5.0
124218,Episode 8,2022-02-12T00:00:00.000Z,200778,100866,8,,The Masked Singer,2020,,2020-01-04,ITV,172,96907,tt10477884,Returning Series,3697136,,,171889,3,,,,,636117.0,,,I Knew You Were Waiting (For Me),1397.0,Aretha Franklin,spotify:track:2gJDyiRxxIglLXp545SPVL,,,,171889.0
124218,Episode 8,2022-02-12T00:00:00.000Z,200778,100866,8,,The Masked Singer,2020,,2020-01-04,ITV,172,96907,tt10477884,Returning Series,3697136,,,171889,3,,,,,607015.0,,,It Takes Two,196935.0,Marvin Gaye,spotify:track:0UERoCKd24PKovd4BwRzBQ,https://music.apple.com/us/album/it-takes-two/1469591189?i=1469602493,,,5.0
124218,Episode 8,2022-02-12T00:00:00.000Z,200778,100866,8,,The Masked Singer,2020,,2020-01-04,ITV,172,96907,tt10477884,Returning Series,3697136,,,171889,3,,,,,210080.0,,,We Found Love (feat. Calvin Harris),2445.0,Rihanna,spotify:track:0U10zFw4GlBacOy9VDGfGL,https://geo.music.apple.com/us/album/we-found-love-feat-calvin-harris/id481067872?i=481067882,,,5.0
124218,Episode 8,2022-02-12T00:00:00.000Z,200778,100866,8,,The Masked Singer,2020,,2020-01-04,ITV,172,96907,tt10477884,Returning Series,3697136,,,171889,3,,,,,274367.0,,,Story of My Life,27111.0,One Direction,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,https://geo.music.apple.com/us/album/story-of-my-life/695318295?i=695318302&uo=4,,,43497.0
